id,frame_type,score,reason,keyoff_count,keyon_count,keyon_startcar_count,engine_running_count,keyoff_rate_hz,keyon_rate_hz,keyon_startcar_rate_hz,engine_running_rate_hz,keyoff_top,keyon_top,keyon_startcar_top,engine_running_top,keyoff_top_count,keyon_top_count,keyon_startcar_top_count,engine_running_top_count,keyon_delta,running_delta,keyon_preview,running_preview
1BC,standard,899,keyon_rate_increase,767,13341,15326,0,42.613,199.928,200.169,0.000,480100007C000000,480100007C000000,080100007C000000,,767,13341,10570,0,same,,480100007C000000 x13341,
4D7,standard,808,dominant_payload_changes_running,36,134,154,308,2.000,2.008,2.011,1.999,013986DAA2,013986DAA2,013987DAA2,013A87DAA1,36,134,84,158,same,"b1:39->3A, b2:86->87, b4:A2->A1",013986DAA2 x134,"013A87DAA1 x158, 013A88DAA1 x51, 013A85DAA2 x48"
3C9,standard,729,keyon_rate_increase,256,2001,2298,1541,14.223,29.987,30.014,10.001,0766000000000000,0766423C74B6E353,0766423C74B6E353,0766000000000000,179,1333,1532,1541,"b2:00->42, b3:00->3C, b4:00->74, b5:00->B6, b6:00->E3, b7:00->53",same,"0766423C74B6E353 x1333, 0766000000000000 x668",0766000000000000 x1541
1BD,standard,719,keyon_rate_increase,76,1334,1532,0,4.222,19.991,20.009,0.000,0000000000000000,0000000000000000,0000000000000000,,76,1334,1532,0,same,,0000000000000000 x1334,
1C1,standard,719,keyon_rate_increase,77,1334,1532,0,4.278,19.991,20.009,0.000,0000000000000000,0000000000000000,0000000000000000,,77,1334,1532,0,same,,0000000000000000 x1334,
1F5,standard,719,keyon_rate_increase,77,1334,1533,0,4.278,19.991,20.022,0.000,0000000F00000700,0000000F00000700,0000000F00000700,,77,1334,1533,0,same,,0000000F00000700 x1334,
2C5,standard,719,keyon_rate_increase,77,1333,1532,0,4.278,19.976,20.009,0.000,0000000000000000,0000000000000000,0000000000000000,,77,1333,1532,0,same,,0000000000000000 x1333,
3D1,standard,719,keyon_rate_increase,76,1334,1532,0,4.222,19.991,20.009,0.000,1000000000000000,1000000000000000,1100000000000000,,76,1334,1057,0,same,,1000000000000000 x1334,
3E9,standard,719,keyon_rate_increase,77,1333,1532,0,4.278,19.976,20.009,0.000,0000800000008000,0000800000008000,0000800000008000,,77,1333,1526,0,same,,0000800000008000 x1333,
3F9,standard,719,keyon_rate_increase,77,1333,1532,0,4.278,19.976,20.009,0.000,8000000000000007,8000000000000007,8000000000000007,,77,1273,1472,0,same,,"8000000000000007 x1273, 2000000000000007 x60",
