index,table_offset,raw,frame_id,flags_or_variant,clean_standard_encoding,dlc,payload_ram_ptr,aux_func_a,aux_func_b,scheduler_bucket,scheduler_mask,object_key,direct_dispatch_handlers,wire_id_ipc_source_60,wire_id_bcm_source_40,exact_live_source_60,live_count,live_period_ms,live_payload,role,wake_power_confidence
78,0x01DFAC,0x90254000,0x409,0x14000,no,7,0x3FFA944,,0x11E098,10,0x80,0x9025,0x131414@0x021F44,0x10254060,0x10254040,no,,,,low_speed_ipc_projected_family,low-for-wake
79,0x01DFB0,0x90250000,0x409,0x10000,no,2,0x3FFA94C,,0x11F2F4,10,0x01,0x9025,0x131414@0x021F44,0x10250060,0x10250040,no,,,,low_speed_ipc_projected_family,low-for-wake
80,0x01DFB4,0x90248000,0x409,0x08000,no,6,0x3FFA950,,0x11F39C,10,0x02,0x9024,0x1305CE@0x021F38,0x10248060,0x10248040,no,,,,low_speed_ipc_projected_family,low-for-wake
81,0x01DFB8,0x90242000,0x409,0x02000,no,1,0x3FFA958,0x11BA00,0x11B9A2,10,0x04,0x9024,0x1305CE@0x021F38,0x10242060,0x10242040,no,,,,low_speed_ipc_projected_family,low-for-wake
82,0x01DFBC,0x90240000,0x409,0x00000,no,8,0x3FFA95C,,0x11B462,10,0x08,0x9024,0x1305CE@0x021F38,0x10240060,0x10240040,no,,,,low_speed_ipc_projected_family,low-for-wake
83,0x01DFC0,0x90238000,0x408,0x38000,no,1,0x3FFA964,,0x11DB92,11,0x10,0x9023,0x1305E8@0x021F2C,0x10238060,0x10238040,no,,,,other_can_object,low-for-wake
84,0x01DFC4,0x90234000,0x408,0x34000,no,6,0x3FFA968,,0x11DB3A,11,0x20,0x9023,0x1305E8@0x021F2C,0x10234060,0x10234040,no,,,,other_can_object,low-for-wake
85,0x01DFC8,0x90230000,0x408,0x30000,no,8,0x3FFA970,,0x11C880,11,0x40,0x9023,0x1305E8@0x021F2C,0x10230060,0x10230040,no,,,,other_can_object,low-for-wake
86,0x01DFCC,0x9022E000,0x408,0x2E000,no,8,0x3FFA978,,0x11E31E,11,0x80,0x9022,0x1347F4@0x021F20,0x1022e060,0x1022e040,no,,,,other_can_object,low-for-wake
87,0x01DFD0,0x9022C000,0x408,0x2C000,no,4,0x3FFA980,,0x11F08C,11,0x01,0x9022,0x1347F4@0x021F20,0x1022c060,0x1022c040,no,,,,other_can_object,low-for-wake
