frame_id,block,getter,window_start,window_end,bytes,ram_reads_in_window
0x3E9,0,0x117DFE,0x117DFE,0x117E7E,00 02 80 FF 1C 2C 8A 00 16 02 00 02 80 FF 1C 2C 8A 00 16 02 40 56 00 04 8A 57 51 86 7F 00 40 56 00 04 AA 57 31 84 7F 00 40 56 00 04 AA 57 2B 84 7F 00 40 56 00 04 8A 57 B1 84 7F 00 40 56 00 04 8A 57 31 84 7F 00 40 56 00 04 AA 57 89 87 7F 00 40 56 00 04 EA 57 99 87 7F 00 40 56 00 04 AA 57 9D 87 7F 00 40 56 00 04 2A 57 39 87 7F 00 40 56 00 04 EA 57 CF 83 7F 00 40 56 00 04 EA 57 F1 86,0x117E12:op=8A57:ram=0x03FF8651; 0x117E1C:op=AA57:ram=0x03FF8431; 0x117E26:op=AA57:ram=0x03FF842B; 0x117E30:op=8A57:ram=0x03FF84B1; 0x117E3A:op=8A57:ram=0x03FF8431; 0x117E44:op=AA57:ram=0x03FF8789; 0x117E4E:op=EA57:ram=0x03FF8799; 0x117E58:op=AA57:ram=0x03FF879D; 0x117E62:op=2A57:ram=0x03FF8739; 0x117E6C:op=EA57:ram=0x03FF83CF; 0x117E76:op=EA57:ram=0x03FF86F1
0x3D1,2,0x117E08,0x117E08,0x117E88,00 02 80 FF 1C 2C 8A 00 16 02 40 56 00 04 8A 57 51 86 7F 00 40 56 00 04 AA 57 31 84 7F 00 40 56 00 04 AA 57 2B 84 7F 00 40 56 00 04 8A 57 B1 84 7F 00 40 56 00 04 8A 57 31 84 7F 00 40 56 00 04 AA 57 89 87 7F 00 40 56 00 04 EA 57 99 87 7F 00 40 56 00 04 AA 57 9D 87 7F 00 40 56 00 04 2A 57 39 87 7F 00 40 56 00 04 EA 57 CF 83 7F 00 40 56 00 04 EA 57 F1 86 7F 00 40 56 00 04 8A 57 E9 83,0x117E12:op=8A57:ram=0x03FF8651; 0x117E1C:op=AA57:ram=0x03FF8431; 0x117E26:op=AA57:ram=0x03FF842B; 0x117E30:op=8A57:ram=0x03FF84B1; 0x117E3A:op=8A57:ram=0x03FF8431; 0x117E44:op=AA57:ram=0x03FF8789; 0x117E4E:op=EA57:ram=0x03FF8799; 0x117E58:op=AA57:ram=0x03FF879D; 0x117E62:op=2A57:ram=0x03FF8739; 0x117E6C:op=EA57:ram=0x03FF83CF; 0x117E76:op=EA57:ram=0x03FF86F1; 0x117E80:op=8A57:ram=0x03FF83E9
