frame_id,table_index,table_offset,raw,object_key,message_role,direct_dispatch_handlers,occurrence_contexts,observed_presence,observed_count,observed_dlcs,median_period_ms,approx_hz,rx_consumer_status,confidence
0x4D1,90,0x01E998,0x13440000,0x1344,ecu_rx_priority,,table_entry:Group B@0x01E998; inside_structured_table:Dispatch/wrapper table@0x022246,combined+ecu_stream+misc,18720,8:18720,48.92,20.44,"RX filter table entry confirmed; consumer likely reached through interrupt/buffer path, not the 0x021A40 TX wrapper table",confirmed-by-table
0x4C1,92,0x01E9A0,0x13040000,0x1304,ecu_rx_priority,,table_entry:Group B@0x01E9A0,combined+ecu_stream+misc,18732,8:18732,48.95,20.43,"RX filter table entry confirmed; consumer likely reached through interrupt/buffer path, not the 0x021A40 TX wrapper table",confirmed-by-table
0x3E9,95,0x01E9AC,0x0FA40000,0x0FA4,ecu_rx_priority,,table_entry:Group B@0x01E9AC,combined+ecu_stream+misc,18900,8:18900,49.00,20.41,"RX filter table entry confirmed; consumer likely reached through interrupt/buffer path, not the 0x021A40 TX wrapper table",confirmed-by-table
0x3D1,97,0x01E9B4,0x0F440000,0x0F44,ecu_rx_priority,,table_entry:Group B@0x01E9B4,combined+ecu_stream+misc,18844,8:18844,49.00,20.41,"RX filter table entry confirmed; consumer likely reached through interrupt/buffer path, not the 0x021A40 TX wrapper table",confirmed-by-table
0x0C9,145,0x01EA74,0x03240000,0x0324,ecu_rx_priority,,table_entry:Group B@0x01EA74,combined+ecu_stream+misc,191798,8:191798,14.05,71.18,"RX filter table entry confirmed; consumer likely reached through interrupt/buffer path, not the 0x021A40 TX wrapper table",confirmed-by-table
